Country,total_players,active_players,football_hall_of_famers,total_country_games_played,touchdowns,most_countries_td_scored,total_tds,most_games_played_,most_gms_by_countries_player
American Samoa,37,6,0,2000,33,Mosi Tatupu,21,Domata Peko,209
Angola,1,0,0,24,0,N/A,0,Christo Bilukidi,24
Argentina,3,0,0,201,0,N/A,0,Martin Gramatica,109
Armenia,1,0,0,48,0,N/A,0,Mike Gulian,48
Australia,18,7,0,947,0,N/A,0,Darren Bennett,160
Austria,6,0,0,450,0,N/A,0,Ray Wersching,206
Bahamas,3,0,0,79,4,Devard Darling,4,Devard Darling,46
Barbados,5,0,0,306,8,Robert Bailey,3,Robert Bailey,146
Belgium,2,0,0,90,0,N/A,0,Terry Ray,73
Belize,2,1,0,67,0,N/A,0,Rakeem Nunez-Roches,65
Bermuda,3,0,0,98,20,Ron Davenport,17,Ron Davenport,67
Bolivia,1,0,0,4,0,N/A,0,Wilson Alvarez,4
Brazil,1,1,0,78,0,N/A,0,Cairo Santos,78
Bulgaria,1,0,0,21,0,N/A,0,Boni Petcoff,21
Burma,1,0,0,10,2,Don Thompson,2,Don Thompson,10
Cameroon,7,1,0,308,0,N/A,0,Roman Oben,143
Canada,114,15,2,5378,211,Nate Burleson,43,Eddie Murray,250
Colombia,2,0,0,167,0,N/A,0,Fuad Reveiz,147
Congo,3,0,0,50,0,N/A,0,Andy Mulumba,22
Croatia,2,0,0,34,0,N/A,0,George Perpich,27
Cuba,4,0,0,287,4,Lou Molinet,1,Luis Sharpe,189
Cyprus,1,0,0,177,0,N/A,0,Garo Yepremian,177
Czech Republic,5,0,0,128,1,Bullets Walson,1,Will Svitek,79
Denmark,4,0,1,424,0,N/A,0,Morten Andersen,382
El Salvador,1,0,0,55,0,N/A,0,Jose Cortez,55
England,32,6,0,1760,78,Sammy Morris,27,Osi Umenyiora,161
Estonia,2,1,0,247,0,N/A,0,Michael Roos,148
Fiji,1,0,0,55,0,N/A,0,Freddy Keiaho,55
France,4,0,0,201,2,Charles Romes,2,Charles Romes,156
Germany,83,5,1,4823,138,Tony Richardson,24,Nick Lowery,260
Ghana,3,1,0,217,0,N/A,0,Ebenezer Ekuban,122
Greece,5,0,0,129,1,Chris Farasopoulos,1,Chris Farasopoulos,42
Guam,1,0,0,8,0,N/A,0,Troy Andrew,8
Guatemala,2,0,1,231,5,Ted Hendricks,4,Ted Hendricks,215
Guyana,1,0,0,121,1,Lance Schulters,1,Lance Schulters,121
Haiti,6,2,0,410,1,Pierre Desir,1,Gosder Cherilus,132
Honduras,2,0,1,119,78,Steve Van Buren,77,Steve Van Buren,83
Hungary,4,0,0,285,0,N/A,0,Pete Gogolak,149
Iran,1,0,0,57,0,N/A,0,Shar Pourdanesh,57
Ireland,10,0,0,225,1,Bob Nash,1,Neil O'Donoghue,110
Italy,23,0,1,695,9,David Knight,7,Leo Nomellini,174
Ivory Coast,1,0,0,84,11,Amos Zereoue,11,Amos Zereoue,84
Jamaica,42,5,0,1961,10,Danielle Hunter,2,Sean Jones,201
Japan,13,2,0,859,16,Robert Griffin,10,John Jackson,203
Kenya,2,1,0,21,0,N/A,0,Rees Odhiambo,16
Latvia,1,0,0,14,0,N/A,0,Vilnis Ezerins,14
Lebanon,2,0,0,4,0,N/A,0,Hicham El-Mashtoub,3
Liberia,11,3,0,538,11,Gus Edwards,7,Tamba Hali,177
Libya,1,0,0,6,1,Tony Cherry,1,Tony Cherry,6
Lithuania,2,0,0,33,0,N/A,0,Arunas Vasys,22
Marshall Islands,1,0,0,175,6,Todd Lyght,6,Todd Lyght,175
Mexico,14,0,1,755,39,Tom Fears,39,Rafael Septien,151
Netherlands,4,0,0,130,0,N/A,0,Harald Hasselbach,112
New Zealand,5,0,0,371,0,N/A,0,David Dixon,152
Nigeria,28,9,0,1307,84,Christian Okoye,40,Israel Idonije,149
Norway,6,1,1,376,0,N/A,0,Jan Stenerud,263
Panama,2,0,0,34,0,N/A,0,Alvin Powell,20
Panama Canal Zone,2,0,0,123,1,Leo Barker,1,Leo Barker,122
Paraguay,1,0,0,90,0,N/A,0,Benny Ricardo,90
Philippines,3,0,0,198,0,N/A,0,Eugene Amano,124
Phillipines,4,0,0,95,14,Tim Tebow,12,Sanjay Beach,42
Poland,6,0,0,458,1,Chester Marcol,1,Sebastian Janikowski,284
Puerto Rico,3,1,0,227,16,Jaron Brown,16,Ken Amato,125
Romania,4,0,0,146,0,N/A,0,George Gross,70
Russia,6,0,0,112,20,Ace Gutowsky,20,Ace Gutowsky,86
Saudi Arabia,1,0,0,14,0,N/A,0,Jordan Kent,14
Scotland,10,2,0,361,2,James Robertson,2,Graham Gano,145
Sierra Leone,4,0,0,245,2,Madieu Williams,2,Madieu Williams,119
South Africa,3,1,0,469,15,Jerome Pathon,15,Gary Anderson,353
South Korea,4,2,0,365,86,Hines Ward,86,Hines Ward,217
Spain,4,1,0,47,3,JJ Arcega-Whiteside,2,JJ Arcega-Whiteside,23
St. Kitts & Nevis,1,0,0,28,0,N/A,0,Erasmus James,28
Sweden,9,0,0,105,17,Curly Oden,17,Curly Oden,67
Syria,1,0,0,9,0,N/A,0,Heinie Jawish,9
Taiwan,2,0,0,100,0,N/A,0,Tony Daykin,73
Thailand,1,0,0,57,0,N/A,0,Tony Brown,57
Tonga,14,1,0,840,17,Tim Manoa,8,Ma'ake Kemoeatu,136
Trinidad,5,0,0,129,1,Curvin Richards,1,Anthony Herrera,80
Turkey,1,0,0,177,0,N/A,0,Tunch Ilkin,177
U.S. Virgin Islands,1,1,0,152,1,Linval Joseph,1,Linval Joseph,152
Uganda,3,0,0,201,0,N/A,0,Mathias Kiwanuka,120
Ukraine,3,0,0,244,10,Buckets Goldenberg,10,Buckets Goldenberg,120
Venezuela,2,0,0,4,0,N/A,0,Pat Ragusa,3
Virgin Islands,9,0,0,427,3,Joe Aska,1,Renaldo Turnbull,120
Wales,2,0,0,7,0,N/A,0,Allan Watson,4
West Germany,3,0,0,246,2,Jerome Felton,1,Jerome Felton,132
Western Samoa,6,0,0,356,0,N/A,0,Jesse Sapolu,182
Yugoslavia,6,0,0,186,8,Frankie Sinkwich,8,Visco Grgich,78
Zaire,2,0,0,62,17,Tim Biakabutuka,17,Tim Biakabutuka,50
Zimbabwe,1,0,0,26,0,N/A,0,Stansly Maponga,26
Unknown,1,1,0,9,0,,,Isaiah Wright,9
Unknown,1,1,0,2,0,,,Parnell Motley,2
Unknown,10,10,0,56,0,,,Tommy Townsend,11
Unknown,10,10,0,61,2,Gabe Nabers,2,Rodrigo Blankenship,11
Unknown,1,1,0,1,0,,,Breiden Fehoko,1
Unknown,4,4,0,28,8,James Robinson,8,James Robinson,11
Unknown,3,3,0,10,0,,,Austin Mack,6
Unknown,6,6,0,16,0,,,Malcolm Roach,6
Unknown,1,1,0,9,0,,,Sean McKeon,9
Unknown,2,2,0,5,0,,,Michael Dunn,3
Unknown,1,1,0,1,0,,,Austin Edwards,1
Unknown,1,1,0,7,0,,,Ben Ellefson,7
Unknown,1,1,0,11,0,,,Tershawn Wharton,11
Unknown,4,4,0,13,0,,,De'Michael Harris,5
Unknown,2,2,0,11,0,,,Rico Dowdle,10
Unknown,2,2,0,14,0,,,Myles Hartsfield,12
Unknown,1,1,0,2,0,,,Elijah Riley,2
Unknown,4,4,0,16,1,Reggie Gilliam,1,Reggie Gilliam,11
Unknown,5,5,0,37,1,Colin Thompson,1,Colin Thompson,11
Unknown,1,1,0,1,0,,,Dieter Eiselen,1
Unknown,1,1,0,12,0,,,Joseph Charlton,12
Unknown,3,3,0,9,0,,,Jovante Moffatt,5
Unknown,16,16,0,77,1,Jamycal Hasty,1,Ross Matiscik,11
Unknown,2,2,0,12,0,,,Francis Bernard,8
Unknown,2,2,0,3,0,,,Cole Christiansen,2
Unknown,1,1,0,3,1,Salvon Ahmed,1,Salvon Ahmed,3
Unknown,1,1,0,5,0,,,Kristian Welch,5
Unknown,1,1,0,11,0,,,Jacob Bobenmoyer,11